type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,19,1024,333463480844886,42290,0,0,0,1063795,11738,0,0,0,10113,143447882,117879
MULTIVAR,test,2,64,19,1024,333463630408327,45031,0,0,0,794311,8911,0,0,0,12047,646577481,267339
MULTIVAR,test,2,64,19,1024,333464282864532,48468,0,0,0,1145314,8280,0,0,0,5869,143587496,97899
MULTIVAR,test,2,64,19,1024,333464432532021,46805,0,0,0,860251,8453,0,0,0,10360,207962232,152393
MULTIVAR,test,2,64,19,1024,333464646484528,38847,0,0,0,744504,9925,0,0,0,7691,249085102,121970
MULTIVAR,test,2,64,19,1024,333464901311806,41307,0,0,0,1265623,9911,0,0,0,10985,441283216,217786
MULTIVAR,test,2,64,19,1024,333465348758962,41219,0,0,0,686231,8903,0,0,0,10093,449482628,197098
MULTIVAR,test,2,64,19,1024,333465803891274,41069,0,0,0,878862,13403,0,0,0,6490,121218083,91900
MULTIVAR,test,2,64,19,1024,333465931542777,39540,0,0,0,1228653,11991,0,0,0,9021,157186005,127451
MULTIVAR,test,2,64,19,1024,333466094864680,42068,0,0,0,723562,9828,0,0,0,5259,105201524,83754
MULTIVAR,test,2,64,19,1024,333466205968893,44313,0,0,0,786033,9077,0,0,0,9771,170483170,119719
MULTIVAR,test,2,64,19,1024,333466384514742,46223,0,0,0,8555007,11751,0,0,0,13490,314392713,187847
MULTIVAR,test,2,64,19,1024,333466713784020,41296,0,0,0,1056248,13911,0,0,0,5944,161696685,91974
MULTIVAR,test,2,64,19,1024,333466881752576,69783,0,0,0,737454,15226,0,0,0,6980,135730456,89080
MULTIVAR,test,2,64,19,1024,333467023156078,84002,0,0,0,803501,8460,0,0,0,8727,165872903,133720
MULTIVAR,test,2,64,19,1024,333467195039583,54595,0,0,0,658341,9698,0,0,0,10496,322998594,157827
MULTIVAR,test,2,64,25,1024,333467524050064,56382,0,0,0,1899547,17594,0,0,0,8387,128771578,107792
